,price,carat,cut,color,clarity,depth,table,volume,L/W_ratio,V/W_Ratio,color_num,clarity_num,cut_num,carat_range,table_range,color_range
34,2422,0.7,Very Good,H,VS1,62.1,56.0,182.28,0.5,260.4,5,4,3,4,6,N-CL
35,2553,0.8,Very Good,H,SI1,63.2,54.0,205.03,0.8,256.29,5,6,3,5,4,N-CL
36,14208,2.0,Premium,I,SI2,61.3,59.0,532.09,0.5,266.04,6,7,2,10,9,N-CL
37,2858,0.71,Very Good,E,VS2,63.5,59.0,177.49,1.6,249.99,2,5,3,5,9,CL
38,5292,1.0,Premium,F,SI1,60.3,58.0,267.5,0.6,267.5,3,6,2,6,8,CL
39,1240,0.5,Ideal,E,SI2,62.4,57.0,128.28,0.8,256.56,2,7,1,3,7,CL
40,1875,0.51,Ideal,G,VVS2,61.3,57.0,135.8,0.6,266.27,4,3,1,4,7,N-CL
41,3861,1.04,Premium,G,SI2,62.2,59.0,276.73,1.2,266.09,4,7,2,7,9,N-CL
42,2587,0.64,Ideal,G,VVS2,61.8,54.0,170.95,0.5,267.11,4,3,1,4,4,N-CL
43,3648,0.8,Ideal,E,VS2,62.2,57.0,212.77,0.5,265.96,2,5,1,5,7,CL
44,552,0.3,Ideal,D,SI1,61.9,56.0,79.51,0.7,265.03,1,6,1,1,6,CL
45,866,0.38,Premium,E,VS2,61.8,58.0,99.25,0.7,261.18,2,5,2,2,8,CL
46,625,0.31,Ideal,G,VS1,62.1,55.0,82.69,0.9,266.74,4,4,1,2,5,N-CL
47,3830,1.0,Fair,H,SI1,55.2,64.0,294.96,0.7,294.96,5,6,5,6,14,N-CL
48,3184,0.78,Ideal,G,VS2,61.7,55.0,206.07,0.8,264.19,4,5,1,5,5,N-CL
49,5671,1.0,Very Good,D,SI1,59.8,59.0,274.2,0.6,274.2,1,6,3,6,9,CL
50,2399,0.7,Very Good,H,VS1,60.3,63.0,189.45,0.7,270.64,5,4,3,4,13,N-CL
51,1688,0.64,Very Good,F,SI1,60.7,59.0,172.18,1.5,269.03,3,6,3,4,9,CL
52,513,0.31,Ideal,I,VS1,61.3,55.6,84.6,0.7,272.9,6,4,1,2,6,N-CL
53,1549,0.52,Ideal,G,VS2,61.9,55.0,138.19,0.6,265.75,4,5,1,4,5,N-CL
54,1002,0.33,Ideal,E,VS1,62.6,57.0,85.57,0.5,259.3,2,4,1,2,7,CL
55,878,0.3,Very Good,H,VVS1,63.4,57.0,78.58,0.9,261.93,5,2,3,1,7,N-CL
56,3679,1.0,Good,J,SI1,63.9,60.0,239.86,1.1,239.86,7,6,4,6,10,N-CL
57,495,0.3,Ideal,E,I1,60.3,57.0,83.45,0.7,278.17,2,8,1,1,7,CL
58,1221,0.47,Premium,H,VS1,61.8,58.0,121.77,1.0,259.09,5,4,2,3,8,N-CL
59,13839,1.59,Ideal,H,VS1,60.7,56.0,433.22,0.5,272.47,5,4,1,9,6,N-CL
60,5113,1.01,Good,G,SI1,63.7,60.0,249.25,0.6,246.78,4,6,4,7,10,N-CL
61,628,0.34,Ideal,H,SI1,62.6,56.0,89.11,0.4,262.09,5,6,1,2,6,N-CL
62,816,0.31,Ideal,E,VVS2,60.8,57.0,84.03,0.7,271.06,2,3,1,2,7,CL
63,3434,0.74,Ideal,G,VS2,61.2,56.0,199.17,0.5,269.15,4,5,1,5,6,N-CL
64,854,0.33,Ideal,F,VS2,62.6,55.0,85.57,0.5,259.3,3,5,1,2,5,CL
65,5455,1.08,Ideal,I,VS2,61.8,54.0,284.89,0.5,263.79,6,5,1,7,4,N-CL
66,2898,0.79,Ideal,G,SI1,62.3,57.0,201.91,0.8,255.58,4,6,1,5,7,N-CL
67,776,0.3,Ideal,H,VVS2,61.5,57.0,80.62,0.7,268.73,5,3,1,1,7,N-CL
68,7887,1.33,Ideal,I,VVS2,62.2,56.0,347.43,0.4,261.23,6,3,1,8,6,N-CL
69,1008,0.51,Very Good,H,SI1,61.2,55.0,140.88,0.4,276.24,5,6,3,4,5,N-CL
70,1342,0.58,Ideal,D,SI2,61.2,57.0,156.3,0.7,269.48,1,7,1,4,7,CL
71,7623,1.22,Ideal,H,VS2,62.0,58.0,320.48,0.7,262.69,5,5,1,8,8,N-CL
72,2440,0.78,Good,H,VS2,63.7,60.0,189.45,0.7,242.88,5,5,4,5,10,N-CL
73,11152,1.62,Ideal,I,VS1,60.8,56.0,437.82,0.7,270.26,6,4,1,9,6,N-CL
74,14456,1.65,Ideal,G,VS2,60.8,56.0,453.57,0.7,274.89,4,5,1,9,6,N-CL
75,1975,0.55,Very Good,F,VS1,61.2,56.4,150.0,0.9,272.73,3,4,3,4,7,CL
76,9801,1.64,Ideal,E,SI1,60.7,55.0,447.69,0.4,272.98,2,6,1,9,5,CL
77,658,0.3,Premium,E,VS2,62.5,59.0,78.95,0.7,263.17,2,5,2,1,9,CL
78,1076,0.41,Ideal,D,VS2,61.7,56.0,109.9,0.6,268.05,1,5,1,3,6,CL
79,752,0.3,Premium,D,VVS2,62.4,58.0,78.77,0.9,262.57,1,3,2,1,8,CL
80,6121,1.1,Premium,G,VS2,59.6,60.0,301.66,0.3,274.24,4,5,2,7,10,N-CL
81,4401,1.03,Ideal,I,SI1,63.3,57.0,265.83,1.4,258.09,6,6,1,7,7,N-CL
82,416,0.3,Fair,J,VS2,64.8,58.0,73.38,1.9,244.6,7,5,5,1,8,N-CL
83,4227,1.02,Premium,I,SI1,62.7,58.0,264.61,0.5,259.42,6,6,2,7,8,N-CL
84,1915,0.56,Premium,E,VS2,61.8,56.0,148.03,0.6,264.34,2,5,2,4,6,CL
85,14976,1.51,Very Good,F,VS1,62.6,57.0,385.29,0.6,255.16,3,4,3,9,7,CL
86,4536,1.13,Premium,I,SI1,61.8,59.0,296.74,0.5,262.6,6,6,2,7,9,N-CL
87,589,0.34,Ideal,I,SI1,61.9,57.0,88.32,0.9,259.76,6,6,1,2,7,N-CL
88,4157,1.16,Premium,H,SI2,58.8,61.0,324.22,1.3,279.5,5,7,2,7,11,N-CL
89,752,0.38,Very Good,F,VS2,59.7,57.0,108.53,1.3,285.61,3,5,3,2,7,CL
90,5105,1.03,Premium,G,SI1,60.5,60.0,273.78,0.6,265.81,4,6,2,7,10,N-CL
91,3715,0.9,Very Good,E,SI2,62.2,54.0,236.4,1.3,262.67,2,7,3,5,4,CL
92,1415,0.5,Very Good,D,SI1,62.8,58.0,128.02,0.6,256.04,1,6,3,3,8,CL
93,499,0.3,Ideal,F,SI1,62.2,54.2,81.18,0.7,270.6,3,6,1,1,5,CL
94,2787,0.64,Ideal,D,VS1,61.5,56.0,170.65,0.2,266.64,1,4,1,4,6,CL
95,2996,0.91,Fair,F,SI2,65.3,51.0,216.35,1.2,237.75,3,7,5,6,1,CL
96,10485,1.24,Premium,G,VVS1,60.4,59.0,344.96,0.1,278.19,4,2,2,8,9,N-CL
97,16329,2.3,Ideal,I,SI2,61.8,57.0,605.49,0.4,263.26,6,7,1,11,7,N-CL
98,603,0.27,Ideal,E,VS1,61.6,56.0,71.47,0.7,264.7,2,4,1,1,6,CL
99,3864,1.0,Premium,J,VVS2,59.6,61.0,258.88,0.6,258.88,7,3,2,6,11,N-CL
100,2443,0.71,Ideal,G,VS2,62.9,56.0,184.86,0.9,260.37,4,5,1,5,6,N-CL
101,810,0.36,Premium,E,SI1,60.8,59.0,95.44,0.7,265.11,2,6,2,2,9,CL
102,593,0.31,Ideal,D,SI2,62.1,57.0,80.99,0.5,261.26,1,7,1,2,7,CL
103,3988,0.93,Ideal,H,SI1,62.8,56.0,243.35,1.3,261.67,5,6,1,6,6,N-CL
104,652,0.33,Good,D,VS2,61.8,61.0,86.74,0.9,262.85,1,5,4,2,11,CL
105,9664,1.77,Premium,G,SI2,62.7,59.0,450.04,0.1,254.26,4,7,2,10,9,N-CL
106,5223,1.06,Ideal,E,SI2,62.2,55.0,278.44,0.5,262.68,2,7,1,7,5,CL
107,5226,1.21,Ideal,G,SI2,62.1,57.0,319.07,0.7,263.69,4,7,1,8,7,N-CL
108,826,0.3,Ideal,E,VVS1,62.3,55.0,80.06,0.7,266.87,2,2,1,1,5,CL
109,6401,1.27,Ideal,I,VS2,62.6,57.0,327.55,0.6,257.91,6,5,1,8,7,N-CL
110,4168,0.92,Very Good,D,SI2,62.4,60.0,242.58,0.6,263.67,1,7,3,6,10,CL
111,489,0.31,Ideal,I,VS1,61.9,54.0,83.26,0.9,268.58,6,4,1,2,4,N-CL
112,18561,2.01,Good,H,VS2,57.8,60.0,578.0,0.7,287.56,5,5,4,11,10,N-CL
113,14674,1.51,Ideal,G,VS1,61.9,57.0,397.06,0.4,262.95,4,4,1,9,7,N-CL
114,18358,1.83,Very Good,G,VS2,60.5,59.0,503.7,1.3,275.25,4,5,3,10,9,N-CL
115,933,0.38,Premium,F,VS1,62.4,59.0,97.97,1.3,257.82,3,4,2,2,9,CL
116,445,0.23,Premium,F,VVS2,61.3,59.0,62.73,1.3,272.74,3,3,2,1,9,CL
117,3610,0.92,Ideal,I,SI1,62.1,55.0,246.88,0.8,268.35,6,6,1,6,5,N-CL
118,12069,1.5,Premium,D,SI1,62.4,58.0,388.48,0.6,258.99,1,6,2,8,8,CL
119,645,0.32,Very Good,G,VS1,62.1,55.0,86.94,0.7,271.69,4,4,3,2,5,N-CL
120,4372,1.0,Ideal,F,SI2,61.2,57.0,268.32,1.4,268.32,3,7,1,6,7,CL
121,779,0.31,Very Good,F,VVS1,59.4,57.0,86.15,0.9,277.9,3,2,3,2,7,CL
122,1350,0.52,Good,F,SI2,58.7,64.0,144.98,0.4,278.81,3,7,4,4,14,CL
123,14998,2.01,Ideal,H,SI2,62.5,53.9,523.6,0.4,260.5,5,7,1,11,4,N-CL
124,565,0.31,Ideal,G,VVS2,62.2,55.0,82.12,0.9,264.9,4,3,1,2,5,N-CL
125,2086,0.77,Very Good,J,SI1,61.0,59.0,213.13,0.8,276.79,7,6,3,5,9,N-CL
126,4537,1.13,Very Good,H,SI2,59.8,59.0,313.96,1.0,277.84,5,7,3,7,9,N-CL
127,589,0.32,Ideal,D,SI1,62.6,55.0,84.03,0.7,262.59,1,6,1,2,5,CL
128,16957,2.07,Premium,E,SI1,61.2,58.0,552.71,0.6,267.01,2,6,2,11,8,CL
129,2443,0.71,Premium,G,VS2,60.3,59.0,192.1,0.5,270.56,4,5,2,5,9,N-CL
130,7275,1.11,Ideal,F,VS2,60.4,58.0,298.51,1.0,268.93,3,5,1,7,8,CL
131,4541,1.02,Premium,F,SI2,61.1,59.0,265.02,0.6,259.82,3,7,2,7,9,CL
132,11636,1.56,Ideal,H,VS2,61.5,56.0,417.39,0.5,267.56,5,5,1,9,6,N-CL
133,457,0.34,Very Good,I,VS2,61.6,56.0,90.92,0.9,267.41,6,5,3,2,6,N-CL
134,3215,0.96,Premium,G,SI2,62.7,60.0,234.82,2.9,244.6,4,7,2,6,10,N-CL
135,942,0.31,Premium,D,VS2,62.3,55.0,81.18,0.7,261.87,1,5,2,2,5,CL
136,2060,0.64,Very Good,G,VS1,60.4,62.0,172.5,0.7,269.53,4,4,3,4,12,N-CL
137,7882,1.01,Premium,F,VVS1,62.5,58.0,258.47,0.9,255.91,3,2,2,7,8,CL
138,706,0.35,Ideal,H,VVS2,62.5,57.0,92.34,1.3,263.83,5,3,1,2,7,N-CL
139,2373,0.7,Premium,F,SI2,62.5,60.0,178.13,0.9,254.47,3,7,2,4,10,CL
140,675,0.3,Ideal,H,VS1,62.1,54.0,81.18,0.7,270.6,5,4,1,1,4,N-CL
141,3137,0.71,Ideal,H,VVS1,61.1,56.0,195.11,0.5,274.8,5,2,1,5,6,N-CL
142,871,0.31,Ideal,G,IF,61.1,57.0,85.57,0.9,276.03,4,1,1,2,7,N-CL
143,9072,2.25,Ideal,E,I1,61.4,54.0,609.79,0.7,271.02,2,8,1,11,4,CL
144,5088,1.18,Premium,I,SI1,62.8,56.0,303.46,0.4,257.17,6,6,2,7,6,N-CL
145,6409,1.22,Very Good,G,SI2,63.2,58.0,311.66,0.9,255.46,4,7,3,8,8,N-CL
146,12830,1.72,Ideal,G,VS2,62.8,57.0,439.54,0.9,255.55,4,5,1,10,7,N-CL
147,18394,2.01,Ideal,F,SI2,61.7,56.0,540.68,0.5,269.0,3,7,1,11,6,CL
148,5581,1.03,Premium,G,SI1,60.1,60.0,278.44,0.5,270.33,4,6,2,7,10,N-CL
149,2671,0.7,Ideal,F,VS2,62.0,56.0,188.13,0.5,268.76,3,5,1,4,6,CL
150,5379,1.01,Good,E,SI1,64.3,59.0,245.7,0.8,243.27,2,6,4,7,9,CL
151,5242,1.0,Fair,H,VS1,64.6,59.0,246.88,0.6,246.88,5,4,5,6,9,N-CL
152,10487,1.1,Ideal,F,VVS2,61.2,56.0,302.55,1.2,275.05,3,3,1,7,6,CL
153,4208,0.59,Ideal,D,IF,60.9,57.0,159.22,0.6,269.86,1,1,1,4,7,CL
154,608,0.3,Very Good,H,VS2,63.5,59.0,75.32,1.6,251.07,5,5,3,1,9,N-CL
155,1930,0.56,Ideal,E,VS1,61.3,55.0,149.72,0.6,267.36,2,4,1,4,5,CL
156,3936,0.9,Premium,F,SI1,61.7,62.0,232.6,1.0,258.44,3,6,2,5,12,CL
157,1732,0.57,Very Good,E,VS2,60.7,58.0,152.56,0.7,267.65,2,5,3,4,8,CL
158,2328,0.72,Ideal,D,SI2,61.2,57.0,193.77,0.7,269.12,1,7,1,5,7,CL
159,3511,1.0,Fair,H,SI1,65.5,57.0,241.41,0.8,241.41,5,6,5,6,7,N-CL
160,1043,0.4,Ideal,G,VVS1,62.1,53.0,108.98,0.8,272.45,4,2,1,2,3,N-CL
161,4831,1.22,Premium,I,SI2,62.3,58.0,319.07,0.7,261.53,6,7,2,8,8,N-CL
162,8955,1.02,Ideal,G,IF,62.3,57.0,271.67,1.1,266.34,4,1,1,7,7,N-CL
163,5625,1.08,Ideal,H,VS2,61.8,56.0,282.73,0.6,261.79,5,5,1,7,6,N-CL
164,1052,0.33,Premium,G,IF,60.8,58.0,87.13,0.9,264.03,4,1,2,2,8,N-CL
165,1167,0.42,Very Good,E,VVS2,59.8,56.0,118.61,0.4,282.4,2,3,3,3,6,CL
166,6597,1.36,Very Good,F,SI1,62.8,53.0,355.39,0.7,261.32,3,6,3,8,3,CL
167,2088,0.58,Ideal,F,VS1,62.1,56.0,152.27,1.1,262.53,3,4,1,4,6,CL
168,4964,1.02,Good,G,SI1,63.6,58.0,258.88,0.8,253.8,4,6,4,7,8,N-CL
169,6937,1.19,Good,E,VS2,57.4,60.0,338.1,1.4,284.12,2,5,4,7,10,CL
170,15394,2.01,Good,D,SI2,64.6,55.0,499.89,1.7,248.7,1,7,4,11,5,CL
171,4915,1.15,Very Good,F,SI2,63.1,63.0,287.91,1.5,250.36,3,7,3,7,13,CL
172,2853,0.79,Premium,D,SI2,60.0,60.0,220.71,0.7,279.38,1,7,2,5,10,CL
173,842,0.32,Premium,D,VS2,62.9,59.0,83.45,0.7,260.78,1,5,2,2,9,CL
174,749,0.31,Ideal,F,VS2,61.6,56.0,82.88,0.7,267.35,3,5,1,2,6,CL
175,1813,0.54,Very Good,F,VS1,61.0,58.0,144.43,0.2,267.46,3,4,3,4,8,CL
176,1627,0.5,Very Good,D,VS2,62.8,60.0,129.55,1.2,259.1,1,5,3,3,10,CL
177,11416,1.86,Very Good,H,SI2,62.3,57.0,481.89,0.4,259.08,5,7,3,10,7,N-CL
178,5447,1.04,Very Good,H,VS2,60.9,58.0,283.14,1.5,272.25,5,5,3,7,8,N-CL
179,10581,1.41,Ideal,G,VS2,60.8,55.0,376.88,1.0,267.29,4,5,1,8,5,N-CL
180,499,0.3,Ideal,E,SI1,61.6,54.0,81.75,0.7,272.5,2,6,1,1,4,CL
181,610,0.33,Ideal,H,VS1,61.6,55.0,89.51,0.4,271.24,5,4,1,2,5,N-CL
182,6055,1.06,Ideal,D,SI1,62.7,54.0,278.44,0.5,262.68,1,6,1,7,4,CL
183,372,0.31,Ideal,I,SI2,62.0,54.1,81.75,0.7,263.71,6,7,1,2,5,N-CL
184,3344,0.91,Good,G,SI1,64.3,60.0,226.22,1.3,248.59,4,6,4,6,10,N-CL
185,2083,0.75,Very Good,J,SI1,62.4,56.0,195.78,0.7,261.04,7,6,3,5,6,N-CL
186,886,0.3,Very Good,F,IF,62.1,57.0,78.77,0.9,262.57,3,1,3,1,7,CL
187,1582,0.41,Ideal,D,VVS1,60.6,57.0,110.59,0.6,269.73,1,2,1,3,7,CL
188,3083,1.01,Premium,H,SI2,59.4,62.0,267.5,0.6,264.85,5,7,2,7,12,N-CL
189,7657,1.02,Very Good,G,VVS1,63.0,58.0,264.61,0.5,259.42,4,2,3,7,8,N-CL
190,527,0.27,Ideal,G,VS1,62.3,53.0,73.03,0.7,270.48,4,4,1,1,3,N-CL
191,2196,0.7,Very Good,F,SI1,62.6,56.0,185.19,1.1,264.56,3,6,3,4,6,CL
192,9297,1.51,Ideal,I,VS2,62.3,57.0,395.43,1.2,261.87,6,5,1,9,7,N-CL
193,13703,2.22,Ideal,J,SI2,62.8,57.0,572.47,0.5,257.87,7,7,1,11,7,N-CL
194,1422,0.54,Premium,G,VS2,62.7,58.0,143.6,0.8,265.93,4,5,2,4,8,N-CL
195,5283,1.23,Premium,D,SI2,58.9,58.0,339.58,0.3,276.08,1,7,2,8,8,CL
196,3795,0.9,Good,E,SI1,63.9,57.0,226.23,0.7,251.37,2,6,4,5,7,CL
197,2882,0.88,Fair,F,SI1,56.6,65.0,255.23,1.1,290.03,3,6,5,5,15,CL
198,2208,0.7,Fair,G,SI2,58.6,56.0,191.1,1.0,273.0,4,7,5,4,6,N-CL
199,558,0.31,Premium,H,SI1,62.7,58.0,80.62,0.7,260.06,5,6,2,2,8,N-CL
200,6371,1.25,Ideal,G,SI2,61.1,55.0,339.58,0.6,271.66,4,7,1,8,5,N-CL
201,4242,1.01,Premium,G,SI2,59.1,59.0,277.59,0.6,274.84,4,7,2,7,9,N-CL
202,506,0.3,Very Good,F,SI2,63.5,57.0,75.69,0.7,252.3,3,7,3,1,7,CL
203,487,0.28,Very Good,E,VS1,59.5,59.0,81.18,1.4,289.93,2,4,3,1,9,CL
204,1227,0.51,Premium,F,SI2,61.1,59.0,133.43,1.2,261.63,3,7,2,4,9,CL
205,1232,0.52,Ideal,I,VS2,61.9,58.0,137.39,0.6,264.21,6,5,1,4,8,N-CL
206,2153,0.52,Premium,G,VVS1,59.2,58.0,148.03,0.6,284.67,4,2,2,4,8,N-CL
207,447,0.3,Good,D,SI2,63.3,57.0,78.77,0.9,262.57,1,7,4,1,7,CL
208,1398,0.51,Very Good,D,SI1,62.2,58.0,132.65,0.6,260.1,1,6,3,4,8,CL
209,1241,0.42,Premium,D,VVS2,62.8,59.0,106.5,0.6,253.57,1,3,2,3,9,CL
210,14749,1.82,Premium,H,VS2,61.6,60.0,466.08,0.5,256.09,5,5,2,10,10,N-CL
211,2845,0.7,Very Good,E,VS2,58.9,60.0,199.52,0.3,285.03,2,5,3,4,10,CL
212,12207,1.37,Ideal,G,VVS2,62.3,55.5,359.41,1.3,262.34,4,3,1,8,6,N-CL
213,4095,1.0,Premium,G,SI2,62.7,59.0,254.83,1.0,254.83,4,7,2,6,9,N-CL
214,5722,1.2,Ideal,G,SI2,61.1,57.0,321.42,0.4,267.85,4,7,1,7,7,N-CL
215,7964,1.01,Premium,E,VS1,62.0,59.0,261.32,0.6,258.73,2,4,2,7,9,CL
216,1035,0.5,Ideal,H,SI1,61.7,58.0,132.39,0.8,264.78,5,6,1,3,8,N-CL
217,7744,1.0,Premium,E,VS1,60.4,59.0,278.44,0.5,278.44,2,4,2,6,9,CL
218,1061,0.31,Ideal,F,IF,61.4,56.0,85.18,0.7,274.77,3,1,1,2,6,CL
219,845,0.4,Very Good,D,VS2,63.3,58.0,100.54,0.6,251.35,1,5,3,2,8,CL
220,544,0.32,Very Good,G,VS2,62.3,55.0,85.18,0.7,266.19,4,5,3,2,5,N-CL
221,14578,1.54,Premium,F,VS2,62.4,59.0,404.67,0.7,262.77,3,5,2,9,9,CL
222,2964,1.05,Premium,E,I1,61.4,58.0,272.51,1.1,259.53,2,8,2,7,8,CL
223,5821,1.05,Premium,G,VS2,61.9,59.0,278.87,0.6,265.59,4,5,2,7,9,N-CL
224,6028,1.0,Good,G,VS1,63.9,55.0,250.04,0.9,250.04,4,4,4,6,5,N-CL
225,608,0.3,Very Good,I,VS1,63.3,59.0,74.62,0.7,248.73,6,4,3,1,9,N-CL
226,658,0.3,Very Good,E,VS2,62.4,57.0,76.95,0.5,256.5,2,5,3,1,7,CL
227,7492,1.0,Good,G,VVS2,60.9,56.0,275.89,0.5,275.89,4,3,4,6,6,N-CL
228,1092,0.39,Premium,F,VS1,60.6,55.0,106.72,0.8,273.64,3,4,2,2,5,CL
229,462,0.31,Very Good,G,SI1,63.0,56.0,80.99,0.9,261.26,4,6,3,2,6,N-CL
230,435,0.31,Premium,G,VS2,61.8,58.0,83.83,0.9,270.42,4,5,2,2,8,N-CL
231,1646,0.6,Ideal,F,SI1,61.5,58.0,157.46,0.6,262.43,3,6,1,4,8,CL
232,523,0.31,Ideal,G,SI2,60.5,57.0,83.64,0.9,269.81,4,7,1,2,7,N-CL
233,710,0.3,Very Good,D,VS2,62.6,61.0,76.22,0.7,254.07,1,5,3,1,11,CL
234,1230,0.41,Ideal,G,VVS1,62.1,55.0,107.62,1.0,262.49,4,2,1,3,5,N-CL
235,621,0.33,Premium,G,VS1,60.3,58.0,91.94,0.4,278.61,4,4,2,2,8,N-CL
236,2895,0.7,Very Good,F,VS1,61.8,59.0,187.79,1.8,268.27,3,4,3,4,9,CL
237,707,0.28,Very Good,E,VVS1,62.1,57.0,73.91,1.0,263.96,2,2,3,1,7,CL
238,1995,0.7,Very Good,I,VS1,63.3,55.0,176.87,0.7,252.67,6,4,3,4,5,N-CL
239,952,0.35,Ideal,D,VS1,60.8,57.0,96.28,0.9,275.09,1,4,1,2,7,CL
240,5622,1.0,Ideal,G,SI1,61.0,57.0,268.33,0.5,268.33,4,6,1,6,7,N-CL
241,4150,0.76,Premium,F,IF,60.6,60.0,201.57,0.7,265.22,3,1,2,5,10,CL
243,4844,1.0,Very Good,G,SI1,62.6,59.0,252.03,0.6,252.03,4,6,3,6,9,N-CL
244,4177,1.03,Good,D,SI2,57.6,58.0,293.63,1.1,285.08,1,7,4,7,8,CL
245,576,0.25,Very Good,F,VVS2,62.0,59.0,65.12,1.3,260.48,3,3,3,1,9,CL
246,5347,1.1,Ideal,H,VS2,60.5,57.0,302.11,0.4,274.65,5,5,1,7,7,N-CL
247,7708,1.03,Ideal,G,VVS1,61.7,56.0,277.57,1.7,269.49,4,2,1,7,6,N-CL
248,4173,1.14,Very Good,J,SI1,63.3,55.0,293.63,1.1,257.57,7,6,3,7,5,N-CL
249,10144,1.1,Ideal,D,VS1,61.9,56.0,287.49,0.5,261.35,1,4,1,7,6,CL
250,2351,0.73,Premium,F,SI2,60.5,57.0,196.46,0.7,269.12,3,7,2,5,7,CL
251,2487,0.71,Ideal,H,VS1,60.3,59.0,192.76,0.7,271.49,5,4,1,5,9,N-CL
252,4407,0.7,Good,D,VVS1,61.0,61.0,186.17,0.5,265.96,1,2,4,4,11,CL
253,12255,1.33,Ideal,G,VVS1,62.2,54.0,349.9,0.6,263.08,4,2,1,8,4,N-CL
254,5506,1.15,Premium,H,SI1,62.0,58.0,300.29,1.6,261.12,5,6,2,7,8,N-CL
255,2896,0.53,Ideal,F,VVS1,61.6,56.0,142.23,1.2,268.36,3,2,1,4,6,CL
256,6149,1.3,Very Good,F,SI2,61.1,58.0,343.98,0.6,264.6,3,7,3,8,8,CL
257,8693,1.05,Premium,F,VVS2,61.3,59.0,275.46,1.2,262.34,3,3,2,7,9,CL
258,1608,0.57,Premium,G,VS2,59.7,59.0,157.17,0.7,275.74,4,5,2,4,9,N-CL
259,1885,0.63,Very Good,D,SI1,62.8,57.0,160.98,1.1,255.52,1,6,3,4,7,CL
