,price,carat,cut,color,clarity,depth,table,volume,L/W_ratio,V/W_Ratio,T/D_ratio
56,3679,1.0,Good,J,SI1,63.9,60.0,239.86,1.1,239.86,0.9389671361502347
57,495,0.3,Ideal,E,I1,60.3,57.0,83.45,0.7,278.17,0.945273631840796
58,1221,0.47,Premium,H,VS1,61.8,58.0,121.77,1.0,259.09,0.9385113268608415
59,13839,1.59,Ideal,H,VS1,60.7,56.0,433.22,0.5,272.47,0.9225700164744646
60,5113,1.01,Good,G,SI1,63.7,60.0,249.25,0.6,246.78,0.9419152276295133
61,628,0.34,Ideal,H,SI1,62.6,56.0,89.11,0.4,262.09,0.8945686900958466
62,816,0.31,Ideal,E,VVS2,60.8,57.0,84.03,0.7,271.06,0.9375
63,3434,0.74,Ideal,G,VS2,61.2,56.0,199.17,0.5,269.15,0.9150326797385621
64,854,0.33,Ideal,F,VS2,62.6,55.0,85.57,0.5,259.3,0.8785942492012779
65,5455,1.08,Ideal,I,VS2,61.8,54.0,284.89,0.5,263.79,0.8737864077669903
66,2898,0.79,Ideal,G,SI1,62.3,57.0,201.91,0.8,255.58,0.9149277688603532
67,776,0.3,Ideal,H,VVS2,61.5,57.0,80.62,0.7,268.73,0.926829268292683
68,7887,1.33,Ideal,I,VVS2,62.2,56.0,347.43,0.4,261.23,0.9003215434083601
69,1008,0.51,Very Good,H,SI1,61.2,55.0,140.88,0.4,276.24,0.8986928104575163
70,1342,0.58,Ideal,D,SI2,61.2,57.0,156.3,0.7,269.48,0.9313725490196078
71,7623,1.22,Ideal,H,VS2,62.0,58.0,320.48,0.7,262.69,0.9354838709677419
72,2440,0.78,Good,H,VS2,63.7,60.0,189.45,0.7,242.88,0.9419152276295133
73,11152,1.62,Ideal,I,VS1,60.8,56.0,437.82,0.7,270.26,0.9210526315789475
74,14456,1.65,Ideal,G,VS2,60.8,56.0,453.57,0.7,274.89,0.9210526315789475
75,1975,0.55,Very Good,F,VS1,61.2,56.4,150.0,0.9,272.73,0.9215686274509803
76,9801,1.64,Ideal,E,SI1,60.7,55.0,447.69,0.4,272.98,0.9060955518945634
77,658,0.3,Premium,E,VS2,62.5,59.0,78.95,0.7,263.17,0.944
78,1076,0.41,Ideal,D,VS2,61.7,56.0,109.9,0.6,268.05,0.9076175040518638
79,752,0.3,Premium,D,VVS2,62.4,58.0,78.77,0.9,262.57,0.9294871794871795
80,6121,1.1,Premium,G,VS2,59.6,60.0,301.66,0.3,274.24,1.006711409395973
81,4401,1.03,Ideal,I,SI1,63.3,57.0,265.83,1.4,258.09,0.9004739336492892
82,416,0.3,Fair,J,VS2,64.8,58.0,73.38,1.9,244.6,0.8950617283950618
83,4227,1.02,Premium,I,SI1,62.7,58.0,264.61,0.5,259.42,0.9250398724082934
84,1915,0.56,Premium,E,VS2,61.8,56.0,148.03,0.6,264.34,0.9061488673139159
85,14976,1.51,Very Good,F,VS1,62.6,57.0,385.29,0.6,255.16,0.9105431309904153
86,4536,1.13,Premium,I,SI1,61.8,59.0,296.74,0.5,262.6,0.9546925566343043
87,589,0.34,Ideal,I,SI1,61.9,57.0,88.32,0.9,259.76,0.9208400646203554
88,4157,1.16,Premium,H,SI2,58.8,61.0,324.22,1.3,279.5,1.0374149659863947
89,752,0.38,Very Good,F,VS2,59.7,57.0,108.53,1.3,285.61,0.9547738693467336
90,5105,1.03,Premium,G,SI1,60.5,60.0,273.78,0.6,265.81,0.9917355371900827
91,3715,0.9,Very Good,E,SI2,62.2,54.0,236.4,1.3,262.67,0.8681672025723473
92,1415,0.5,Very Good,D,SI1,62.8,58.0,128.02,0.6,256.04,0.9235668789808917
93,499,0.3,Ideal,F,SI1,62.2,54.2,81.18,0.7,270.6,0.8713826366559485
94,2787,0.64,Ideal,D,VS1,61.5,56.0,170.65,0.2,266.64,0.9105691056910569
95,2996,0.91,Fair,F,SI2,65.3,51.0,216.35,1.2,237.75,0.781010719754977
96,10485,1.24,Premium,G,VVS1,60.4,59.0,344.96,0.1,278.19,0.9768211920529801
97,16329,2.3,Ideal,I,SI2,61.8,57.0,605.49,0.4,263.26,0.9223300970873787
98,603,0.27,Ideal,E,VS1,61.6,56.0,71.47,0.7,264.7,0.9090909090909091
99,3864,1.0,Premium,J,VVS2,59.6,61.0,258.88,0.6,258.88,1.023489932885906
100,2443,0.71,Ideal,G,VS2,62.9,56.0,184.86,0.9,260.37,0.890302066772655
101,810,0.36,Premium,E,SI1,60.8,59.0,95.44,0.7,265.11,0.9703947368421053
102,593,0.31,Ideal,D,SI2,62.1,57.0,80.99,0.5,261.26,0.9178743961352657
103,3988,0.93,Ideal,H,SI1,62.8,56.0,243.35,1.3,261.67,0.89171974522293
104,652,0.33,Good,D,VS2,61.8,61.0,86.74,0.9,262.85,0.9870550161812298
105,9664,1.77,Premium,G,SI2,62.7,59.0,450.04,0.1,254.26,0.9409888357256778
106,5223,1.06,Ideal,E,SI2,62.2,55.0,278.44,0.5,262.68,0.8842443729903536
107,5226,1.21,Ideal,G,SI2,62.1,57.0,319.07,0.7,263.69,0.9178743961352657
108,826,0.3,Ideal,E,VVS1,62.3,55.0,80.06,0.7,266.87,0.882825040128411
109,6401,1.27,Ideal,I,VS2,62.6,57.0,327.55,0.6,257.91,0.9105431309904153
110,4168,0.92,Very Good,D,SI2,62.4,60.0,242.58,0.6,263.67,0.9615384615384616
111,489,0.31,Ideal,I,VS1,61.9,54.0,83.26,0.9,268.58,0.8723747980613894
112,18561,2.01,Good,H,VS2,57.8,60.0,578.0,0.7,287.56,1.0380622837370244
113,14674,1.51,Ideal,G,VS1,61.9,57.0,397.06,0.4,262.95,0.9208400646203554
114,18358,1.83,Very Good,G,VS2,60.5,59.0,503.7,1.3,275.25,0.9752066115702479
115,933,0.38,Premium,F,VS1,62.4,59.0,97.97,1.3,257.82,0.9455128205128205
116,445,0.23,Premium,F,VVS2,61.3,59.0,62.73,1.3,272.74,0.9624796084828712
117,3610,0.92,Ideal,I,SI1,62.1,55.0,246.88,0.8,268.35,0.8856682769726247
118,12069,1.5,Premium,D,SI1,62.4,58.0,388.48,0.6,258.99,0.9294871794871795
119,645,0.32,Very Good,G,VS1,62.1,55.0,86.94,0.7,271.69,0.8856682769726247
120,4372,1.0,Ideal,F,SI2,61.2,57.0,268.32,1.4,268.32,0.9313725490196078
121,779,0.31,Very Good,F,VVS1,59.4,57.0,86.15,0.9,277.9,0.9595959595959597
122,1350,0.52,Good,F,SI2,58.7,64.0,144.98,0.4,278.81,1.090289608177172
123,14998,2.01,Ideal,H,SI2,62.5,53.9,523.6,0.4,260.5,0.8623999999999999
124,565,0.31,Ideal,G,VVS2,62.2,55.0,82.12,0.9,264.9,0.8842443729903536
125,2086,0.77,Very Good,J,SI1,61.0,59.0,213.13,0.8,276.79,0.9672131147540983
126,4537,1.13,Very Good,H,SI2,59.8,59.0,313.96,1.0,277.84,0.9866220735785953
127,589,0.32,Ideal,D,SI1,62.6,55.0,84.03,0.7,262.59,0.8785942492012779
128,16957,2.07,Premium,E,SI1,61.2,58.0,552.71,0.6,267.01,0.9477124183006536
129,2443,0.71,Premium,G,VS2,60.3,59.0,192.1,0.5,270.56,0.9784411276948591
130,7275,1.11,Ideal,F,VS2,60.4,58.0,298.51,1.0,268.93,0.9602649006622517
131,4541,1.02,Premium,F,SI2,61.1,59.0,265.02,0.6,259.82,0.9656301145662848
132,11636,1.56,Ideal,H,VS2,61.5,56.0,417.39,0.5,267.56,0.9105691056910569
133,457,0.34,Very Good,I,VS2,61.6,56.0,90.92,0.9,267.41,0.9090909090909091
134,3215,0.96,Premium,G,SI2,62.7,60.0,234.82,2.9,244.6,0.9569377990430622
135,942,0.31,Premium,D,VS2,62.3,55.0,81.18,0.7,261.87,0.882825040128411
136,2060,0.64,Very Good,G,VS1,60.4,62.0,172.5,0.7,269.53,1.0264900662251655
137,7882,1.01,Premium,F,VVS1,62.5,58.0,258.47,0.9,255.91,0.928
138,706,0.35,Ideal,H,VVS2,62.5,57.0,92.34,1.3,263.83,0.912
139,2373,0.7,Premium,F,SI2,62.5,60.0,178.13,0.9,254.47,0.96
140,675,0.3,Ideal,H,VS1,62.1,54.0,81.18,0.7,270.6,0.8695652173913043
141,3137,0.71,Ideal,H,VVS1,61.1,56.0,195.11,0.5,274.8,0.9165302782324058
142,871,0.31,Ideal,G,IF,61.1,57.0,85.57,0.9,276.03,0.9328968903436988
143,9072,2.25,Ideal,E,I1,61.4,54.0,609.79,0.7,271.02,0.8794788273615636
144,5088,1.18,Premium,I,SI1,62.8,56.0,303.46,0.4,257.17,0.89171974522293
145,6409,1.22,Very Good,G,SI2,63.2,58.0,311.66,0.9,255.46,0.9177215189873418
146,12830,1.72,Ideal,G,VS2,62.8,57.0,439.54,0.9,255.55,0.9076433121019108
147,18394,2.01,Ideal,F,SI2,61.7,56.0,540.68,0.5,269.0,0.9076175040518638
148,5581,1.03,Premium,G,SI1,60.1,60.0,278.44,0.5,270.33,0.9983361064891847
149,2671,0.7,Ideal,F,VS2,62.0,56.0,188.13,0.5,268.76,0.9032258064516129
150,5379,1.01,Good,E,SI1,64.3,59.0,245.7,0.8,243.27,0.9175738724727839
151,5242,1.0,Fair,H,VS1,64.6,59.0,246.88,0.6,246.88,0.9133126934984521
152,10487,1.1,Ideal,F,VVS2,61.2,56.0,302.55,1.2,275.05,0.9150326797385621
153,4208,0.59,Ideal,D,IF,60.9,57.0,159.22,0.6,269.86,0.9359605911330049
154,608,0.3,Very Good,H,VS2,63.5,59.0,75.32,1.6,251.07,0.9291338582677166
155,1930,0.56,Ideal,E,VS1,61.3,55.0,149.72,0.6,267.36,0.8972267536704731
156,3936,0.9,Premium,F,SI1,61.7,62.0,232.6,1.0,258.44,1.0048622366288493
157,1732,0.57,Very Good,E,VS2,60.7,58.0,152.56,0.7,267.65,0.9555189456342669
158,2328,0.72,Ideal,D,SI2,61.2,57.0,193.77,0.7,269.12,0.9313725490196078
159,3511,1.0,Fair,H,SI1,65.5,57.0,241.41,0.8,241.41,0.8702290076335878
160,1043,0.4,Ideal,G,VVS1,62.1,53.0,108.98,0.8,272.45,0.8534621578099839
161,4831,1.22,Premium,I,SI2,62.3,58.0,319.07,0.7,261.53,0.9309791332263243
162,8955,1.02,Ideal,G,IF,62.3,57.0,271.67,1.1,266.34,0.9149277688603532
163,5625,1.08,Ideal,H,VS2,61.8,56.0,282.73,0.6,261.79,0.9061488673139159
164,1052,0.33,Premium,G,IF,60.8,58.0,87.13,0.9,264.03,0.9539473684210527
165,1167,0.42,Very Good,E,VVS2,59.8,56.0,118.61,0.4,282.4,0.9364548494983278
166,6597,1.36,Very Good,F,SI1,62.8,53.0,355.39,0.7,261.32,0.8439490445859873
167,2088,0.58,Ideal,F,VS1,62.1,56.0,152.27,1.1,262.53,0.9017713365539453
168,4964,1.02,Good,G,SI1,63.6,58.0,258.88,0.8,253.8,0.9119496855345912
169,6937,1.19,Good,E,VS2,57.4,60.0,338.1,1.4,284.12,1.0452961672473868
170,15394,2.01,Good,D,SI2,64.6,55.0,499.89,1.7,248.7,0.8513931888544892
171,4915,1.15,Very Good,F,SI2,63.1,63.0,287.91,1.5,250.36,0.9984152139461172
172,2853,0.79,Premium,D,SI2,60.0,60.0,220.71,0.7,279.38,1.0
173,842,0.32,Premium,D,VS2,62.9,59.0,83.45,0.7,260.78,0.9379968203497615
174,749,0.31,Ideal,F,VS2,61.6,56.0,82.88,0.7,267.35,0.9090909090909091
175,1813,0.54,Very Good,F,VS1,61.0,58.0,144.43,0.2,267.46,0.9508196721311475
176,1627,0.5,Very Good,D,VS2,62.8,60.0,129.55,1.2,259.1,0.9554140127388535
177,11416,1.86,Very Good,H,SI2,62.3,57.0,481.89,0.4,259.08,0.9149277688603532
178,5447,1.04,Very Good,H,VS2,60.9,58.0,283.14,1.5,272.25,0.9523809523809524
179,10581,1.41,Ideal,G,VS2,60.8,55.0,376.88,1.0,267.29,0.9046052631578948
180,499,0.3,Ideal,E,SI1,61.6,54.0,81.75,0.7,272.5,0.8766233766233766
181,610,0.33,Ideal,H,VS1,61.6,55.0,89.51,0.4,271.24,0.8928571428571428
182,6055,1.06,Ideal,D,SI1,62.7,54.0,278.44,0.5,262.68,0.8612440191387559
183,372,0.31,Ideal,I,SI2,62.0,54.1,81.75,0.7,263.71,0.8725806451612903
184,3344,0.91,Good,G,SI1,64.3,60.0,226.22,1.3,248.59,0.9331259720062208
185,2083,0.75,Very Good,J,SI1,62.4,56.0,195.78,0.7,261.04,0.8974358974358975
186,886,0.3,Very Good,F,IF,62.1,57.0,78.77,0.9,262.57,0.9178743961352657
187,1582,0.41,Ideal,D,VVS1,60.6,57.0,110.59,0.6,269.73,0.9405940594059405
188,3083,1.01,Premium,H,SI2,59.4,62.0,267.5,0.6,264.85,1.043771043771044
189,7657,1.02,Very Good,G,VVS1,63.0,58.0,264.61,0.5,259.42,0.9206349206349206
190,527,0.27,Ideal,G,VS1,62.3,53.0,73.03,0.7,270.48,0.8507223113964687
191,2196,0.7,Very Good,F,SI1,62.6,56.0,185.19,1.1,264.56,0.8945686900958466
192,9297,1.51,Ideal,I,VS2,62.3,57.0,395.43,1.2,261.87,0.9149277688603532
193,13703,2.22,Ideal,J,SI2,62.8,57.0,572.47,0.5,257.87,0.9076433121019108
194,1422,0.54,Premium,G,VS2,62.7,58.0,143.6,0.8,265.93,0.9250398724082934
195,5283,1.23,Premium,D,SI2,58.9,58.0,339.58,0.3,276.08,0.9847198641765705
196,3795,0.9,Good,E,SI1,63.9,57.0,226.23,0.7,251.37,0.892018779342723
197,2882,0.88,Fair,F,SI1,56.6,65.0,255.23,1.1,290.03,1.1484098939929328
198,2208,0.7,Fair,G,SI2,58.6,56.0,191.1,1.0,273.0,0.9556313993174061
199,558,0.31,Premium,H,SI1,62.7,58.0,80.62,0.7,260.06,0.9250398724082934
200,6371,1.25,Ideal,G,SI2,61.1,55.0,339.58,0.6,271.66,0.9001636661211129
201,4242,1.01,Premium,G,SI2,59.1,59.0,277.59,0.6,274.84,0.9983079526226734
202,506,0.3,Very Good,F,SI2,63.5,57.0,75.69,0.7,252.3,0.8976377952755905
203,487,0.28,Very Good,E,VS1,59.5,59.0,81.18,1.4,289.93,0.9915966386554622
204,1227,0.51,Premium,F,SI2,61.1,59.0,133.43,1.2,261.63,0.9656301145662848
205,1232,0.52,Ideal,I,VS2,61.9,58.0,137.39,0.6,264.21,0.9369951534733442
206,2153,0.52,Premium,G,VVS1,59.2,58.0,148.03,0.6,284.67,0.9797297297297297
207,447,0.3,Good,D,SI2,63.3,57.0,78.77,0.9,262.57,0.9004739336492892
208,1398,0.51,Very Good,D,SI1,62.2,58.0,132.65,0.6,260.1,0.932475884244373
209,1241,0.42,Premium,D,VVS2,62.8,59.0,106.5,0.6,253.57,0.9394904458598726
210,14749,1.82,Premium,H,VS2,61.6,60.0,466.08,0.5,256.09,0.974025974025974
211,2845,0.7,Very Good,E,VS2,58.9,60.0,199.52,0.3,285.03,1.0186757215619695
212,12207,1.37,Ideal,G,VVS2,62.3,55.5,359.41,1.3,262.34,0.8908507223113965
213,4095,1.0,Premium,G,SI2,62.7,59.0,254.83,1.0,254.83,0.9409888357256778
214,5722,1.2,Ideal,G,SI2,61.1,57.0,321.42,0.4,267.85,0.9328968903436988
215,7964,1.01,Premium,E,VS1,62.0,59.0,261.32,0.6,258.73,0.9516129032258065
216,1035,0.5,Ideal,H,SI1,61.7,58.0,132.39,0.8,264.78,0.940032414910859
217,7744,1.0,Premium,E,VS1,60.4,59.0,278.44,0.5,278.44,0.9768211920529801
218,1061,0.31,Ideal,F,IF,61.4,56.0,85.18,0.7,274.77,0.9120521172638437
219,845,0.4,Very Good,D,VS2,63.3,58.0,100.54,0.6,251.35,0.9162717219589258
220,544,0.32,Very Good,G,VS2,62.3,55.0,85.18,0.7,266.19,0.882825040128411
221,14578,1.54,Premium,F,VS2,62.4,59.0,404.67,0.7,262.77,0.9455128205128205
222,2964,1.05,Premium,E,I1,61.4,58.0,272.51,1.1,259.53,0.9446254071661238
223,5821,1.05,Premium,G,VS2,61.9,59.0,278.87,0.6,265.59,0.9531502423263328
224,6028,1.0,Good,G,VS1,63.9,55.0,250.04,0.9,250.04,0.8607198748043818
225,608,0.3,Very Good,I,VS1,63.3,59.0,74.62,0.7,248.73,0.9320695102685624
226,658,0.3,Very Good,E,VS2,62.4,57.0,76.95,0.5,256.5,0.9134615384615384
227,7492,1.0,Good,G,VVS2,60.9,56.0,275.89,0.5,275.89,0.9195402298850575
228,1092,0.39,Premium,F,VS1,60.6,55.0,106.72,0.8,273.64,0.9075907590759076
229,462,0.31,Very Good,G,SI1,63.0,56.0,80.99,0.9,261.26,0.8888888888888888
230,435,0.31,Premium,G,VS2,61.8,58.0,83.83,0.9,270.42,0.9385113268608415
231,1646,0.6,Ideal,F,SI1,61.5,58.0,157.46,0.6,262.43,0.943089430894309
232,523,0.31,Ideal,G,SI2,60.5,57.0,83.64,0.9,269.81,0.9421487603305785
233,710,0.3,Very Good,D,VS2,62.6,61.0,76.22,0.7,254.07,0.9744408945686901
234,1230,0.41,Ideal,G,VVS1,62.1,55.0,107.62,1.0,262.49,0.8856682769726247
235,621,0.33,Premium,G,VS1,60.3,58.0,91.94,0.4,278.61,0.9618573797678276
236,2895,0.7,Very Good,F,VS1,61.8,59.0,187.79,1.8,268.27,0.9546925566343043
237,707,0.28,Very Good,E,VVS1,62.1,57.0,73.91,1.0,263.96,0.9178743961352657
238,1995,0.7,Very Good,I,VS1,63.3,55.0,176.87,0.7,252.67,0.8688783570300158
239,952,0.35,Ideal,D,VS1,60.8,57.0,96.28,0.9,275.09,0.9375
240,5622,1.0,Ideal,G,SI1,61.0,57.0,268.33,0.5,268.33,0.9344262295081968
241,4150,0.76,Premium,F,IF,60.6,60.0,201.57,0.7,265.22,0.9900990099009901
242,4844,1.0,Very Good,G,SI1,62.6,59.0,252.03,0.6,252.03,0.9424920127795527
243,4177,1.03,Good,D,SI2,57.6,58.0,293.63,1.1,285.08,1.0069444444444444
244,576,0.25,Very Good,F,VVS2,62.0,59.0,65.12,1.3,260.48,0.9516129032258065
245,5347,1.1,Ideal,H,VS2,60.5,57.0,302.11,0.4,274.65,0.9421487603305785
246,7708,1.03,Ideal,G,VVS1,61.7,56.0,277.57,1.7,269.49,0.9076175040518638
247,4173,1.14,Very Good,J,SI1,63.3,55.0,293.63,1.1,257.57,0.8688783570300158
248,10144,1.1,Ideal,D,VS1,61.9,56.0,287.49,0.5,261.35,0.9046849757673667
249,2351,0.73,Premium,F,SI2,60.5,57.0,196.46,0.7,269.12,0.9421487603305785
250,2487,0.71,Ideal,H,VS1,60.3,59.0,192.76,0.7,271.49,0.9784411276948591
251,4407,0.7,Good,D,VVS1,61.0,61.0,186.17,0.5,265.96,1.0
252,12255,1.33,Ideal,G,VVS1,62.2,54.0,349.9,0.6,263.08,0.8681672025723473
253,5506,1.15,Premium,H,SI1,62.0,58.0,300.29,1.6,261.12,0.9354838709677419
254,2896,0.53,Ideal,F,VVS1,61.6,56.0,142.23,1.2,268.36,0.9090909090909091
255,6149,1.3,Very Good,F,SI2,61.1,58.0,343.98,0.6,264.6,0.9492635024549918
256,8693,1.05,Premium,F,VVS2,61.3,59.0,275.46,1.2,262.34,0.9624796084828712
257,1608,0.57,Premium,G,VS2,59.7,59.0,157.17,0.7,275.74,0.9882747068676716
258,1885,0.63,Very Good,D,SI1,62.8,57.0,160.98,1.1,255.52,0.9076433121019108
259,3638,0.91,Very Good,E,SI2,60.3,59.0,245.31,0.5,269.57,0.9784411276948591
260,8693,1.2,Premium,D,VS2,61.6,60.0,306.17,0.9,255.14,0.974025974025974
261,5077,1.01,Premium,E,SI1,63.0,61.0,260.5,0.8,257.92,0.9682539682539683
262,5161,1.05,Premium,H,SI1,59.3,58.0,290.55,0.6,276.71,0.9780775716694773
263,641,0.34,Ideal,F,VS2,62.2,55.0,90.52,0.7,266.24,0.8842443729903536
264,5439,1.19,Premium,I,VS2,61.7,57.0,313.5,1.0,263.45,0.9238249594813613
265,1720,0.52,Premium,D,SI1,58.7,58.0,148.31,0.8,285.21,0.9880749574105622
266,942,0.53,Good,I,SI2,63.6,58.0,132.65,0.6,250.28,0.9119496855345912
267,9625,1.11,Ideal,E,VS2,61.0,57.0,298.52,0.8,268.94,0.9344262295081968
268,918,0.32,Ideal,G,IF,61.1,57.0,86.55,0.5,270.47,0.9328968903436988
269,807,0.36,Ideal,F,VS2,61.5,55.0,96.07,0.7,266.86,0.8943089430894309
270,4454,1.03,Ideal,F,SI2,61.8,56.0,270.84,0.5,262.95,0.9061488673139159
271,668,0.33,Premium,I,VS1,59.5,60.0,91.94,0.9,278.61,1.0084033613445378
272,2956,0.7,Very Good,F,VS2,62.4,57.0,184.87,0.7,264.1,0.9134615384615384
273,900,0.32,Ideal,E,VS2,62.0,55.0,85.56,1.8,267.38,0.8870967741935484
274,17476,2.01,Very Good,H,SI1,60.1,60.0,554.73,0.6,275.99,0.9983361064891847
275,645,0.32,Ideal,G,VS1,61.2,56.0,86.15,0.9,269.22,0.9150326797385621
276,3246,0.9,Good,G,SI2,64.1,56.0,226.23,0.7,251.37,0.8736349453978159
277,7781,1.08,Ideal,F,VS2,61.0,57.0,294.95,1.1,273.1,0.9344262295081968
278,907,0.31,Ideal,H,VVS1,61.8,57.0,81.18,0.7,261.87,0.9223300970873787
279,5241,1.02,Premium,H,VS2,61.8,58.0,268.33,0.9,263.07,0.9385113268608415
280,984,0.35,Ideal,E,VS2,61.6,55.0,91.53,1.1,261.51,0.8928571428571428
281,586,0.32,Ideal,F,SI1,60.9,55.0,91.52,1.6,286.0,0.90311986863711
282,14659,2.53,Premium,H,SI2,62.6,60.0,633.07,1.3,250.23,0.9584664536741214
283,1668,0.55,Ideal,E,SI1,61.4,55.0,146.36,0.6,266.11,0.8957654723127036
284,2211,0.58,Ideal,H,IF,61.6,57.0,153.99,0.6,265.5,0.9253246753246753
285,1622,0.52,Premium,E,VS2,60.6,58.0,141.42,0.6,271.96,0.957095709570957
286,3380,0.7,Good,G,VVS1,58.5,62.0,196.46,0.3,280.66,1.0598290598290598
287,1401,0.52,Ideal,H,VS2,61.3,55.0,142.78,0.8,274.58,0.8972267536704731
