,carat,price,cut
206,0.52,2153,Premium
207,0.3,447,Good
208,0.51,1398,Very Good
209,0.42,1241,Premium
210,1.82,14749,Premium
211,0.7,2845,Very Good
212,1.37,12207,Ideal
213,1.0,4095,Premium
214,1.2,5722,Ideal
215,1.01,7964,Premium
216,0.5,1035,Ideal
217,1.0,7744,Premium
218,0.31,1061,Ideal
219,0.4,845,Very Good
220,0.32,544,Very Good
221,1.54,14578,Premium
222,1.05,2964,Premium
223,1.05,5821,Premium
224,1.0,6028,Good
225,0.3,608,Very Good
226,0.3,658,Very Good
227,1.0,7492,Good
228,0.39,1092,Premium
229,0.31,462,Very Good
230,0.31,435,Premium
231,0.6,1646,Ideal
232,0.31,523,Ideal
233,0.3,710,Very Good
234,0.41,1230,Ideal
235,0.33,621,Premium
236,0.7,2895,Very Good
237,0.28,707,Very Good
238,0.7,1995,Very Good
239,0.35,952,Ideal
240,1.0,5622,Ideal
241,0.76,4150,Premium
242,1.0,4844,Very Good
243,1.03,4177,Good
244,0.25,576,Very Good
245,1.1,5347,Ideal
246,1.03,7708,Ideal
247,1.14,4173,Very Good
248,1.1,10144,Ideal
249,0.73,2351,Premium
250,0.71,2487,Ideal
251,0.7,4407,Good
252,1.33,12255,Ideal
253,1.15,5506,Premium
254,0.53,2896,Ideal
255,1.3,6149,Very Good
256,1.05,8693,Premium
257,0.57,1608,Premium
258,0.63,1885,Very Good
259,0.91,3638,Very Good
260,1.2,8693,Premium
261,1.01,5077,Premium
262,1.05,5161,Premium
263,0.34,641,Ideal
264,1.19,5439,Premium
265,0.52,1720,Premium
266,0.53,942,Good
267,1.11,9625,Ideal
268,0.32,918,Ideal
269,0.36,807,Ideal
270,1.03,4454,Ideal
271,0.33,668,Premium
272,0.7,2956,Very Good
273,0.32,900,Ideal
274,2.01,17476,Very Good
275,0.32,645,Ideal
276,0.9,3246,Good
277,1.08,7781,Ideal
278,0.31,907,Ideal
279,1.02,5241,Premium
280,0.35,984,Ideal
281,0.32,586,Ideal
282,2.53,14659,Premium
283,0.55,1668,Ideal
284,0.58,2211,Ideal
285,0.52,1622,Premium
286,0.7,3380,Good
287,0.52,1401,Ideal
288,0.3,764,Ideal
289,0.71,3041,Ideal
290,0.4,917,Ideal
291,1.02,2611,Ideal
292,0.33,810,Very Good
293,1.01,4616,Premium
294,0.32,717,Very Good
295,1.5,14256,Very Good
296,1.02,6058,Good
297,0.33,1129,Ideal
298,0.65,2134,Premium
299,0.3,873,Ideal
300,1.21,5529,Premium
301,0.7,2487,Ideal
302,0.51,1443,Premium
303,1.54,16921,Premium
304,0.43,792,Very Good
305,0.33,780,Premium
306,0.9,3972,Good
307,0.41,1015,Very Good
308,0.31,871,Ideal
309,1.54,11650,Very Good
310,1.04,6709,Ideal
311,0.62,2054,Ideal
312,0.9,4304,Very Good
313,0.36,651,Ideal
314,0.3,1114,Ideal
315,1.4,7722,Premium
316,1.7,10255,Very Good
317,0.33,666,Ideal
318,1.06,7345,Ideal
319,0.4,702,Very Good
320,1.1,4624,Ideal
321,0.9,3226,Fair
322,0.32,730,Premium
323,0.33,1002,Ideal
324,0.73,2523,Very Good
325,1.51,10688,Premium
326,2.07,16337,Ideal
327,1.0,3752,Premium
328,1.04,4316,Very Good
329,1.21,8870,Premium
330,0.72,2946,Ideal
331,0.83,3002,Very Good
332,1.17,4883,Ideal
333,0.28,598,Ideal
334,0.53,1813,Ideal
335,1.0,3276,Very Good
336,0.46,1294,Premium
337,0.34,803,Ideal
338,0.3,658,Very Good
339,1.01,6666,Very Good
340,1.26,6738,Ideal
341,0.36,819,Ideal
342,2.01,12257,Good
343,0.4,882,Very Good
344,0.42,663,Ideal
345,0.91,3423,Premium
346,0.51,2096,Ideal
347,0.32,758,Very Good
348,1.77,15278,Premium
349,0.3,737,Premium
350,1.51,7915,Very Good
351,1.01,5206,Ideal
352,1.58,11380,Premium
353,0.91,2813,Premium
354,0.7,2862,Very Good
355,0.31,571,Ideal
356,0.71,2858,Premium
357,1.5,7308,Good
358,0.31,565,Ideal
359,0.31,846,Ideal
360,1.06,5485,Premium
361,0.32,716,Ideal
362,1.01,5077,Very Good
363,0.57,3126,Ideal
364,0.9,4400,Very Good
365,0.46,1298,Ideal
366,0.9,4592,Very Good
367,1.36,14236,Very Good
368,0.54,1163,Good
369,1.16,6036,Ideal
370,2.13,13996,Very Good
371,0.43,904,Ideal
372,0.7,2059,Good
373,1.01,3294,Fair
374,0.6,1341,Premium
375,0.9,4508,Good
376,0.71,2376,Ideal
377,0.32,1095,Ideal
378,0.38,967,Very Good
379,0.24,485,Very Good
380,1.01,5599,Ideal
381,0.9,3669,Good
382,0.41,878,Ideal
383,0.7,1914,Premium
384,0.5,1262,Premium
385,1.01,5646,Ideal
386,0.42,945,Very Good
387,1.7,9414,Ideal
388,0.52,1244,Good
389,0.4,1059,Good
390,1.21,5624,Ideal
391,0.9,3481,Very Good
392,0.65,3003,Premium
393,1.01,3853,Good
394,0.92,3332,Ideal
395,0.33,1052,Ideal
396,0.51,1593,Ideal
397,1.04,9039,Premium
398,1.07,4340,Very Good
399,1.22,8067,Ideal
400,0.71,2456,Very Good
401,0.78,3454,Ideal
402,0.9,4133,Ideal
403,0.31,734,Ideal
404,0.92,3153,Good
405,0.43,1218,Ideal
406,0.3,545,Ideal
407,0.7,2693,Ideal
408,0.32,842,Premium
409,0.46,1733,Ideal
410,0.3,665,Ideal
411,0.38,832,Ideal
412,2.04,18115,Premium
413,0.47,1244,Premium
414,0.53,1857,Ideal
415,0.6,2897,Very Good
416,0.71,2863,Ideal
417,0.45,709,Ideal
418,1.04,4368,Premium
419,1.02,4370,Premium
420,0.75,2453,Good
421,0.41,1153,Premium
422,0.4,1333,Ideal
423,1.08,6777,Very Good
424,1.23,10317,Ideal
425,0.55,1273,Ideal
426,0.31,625,Very Good
427,1.02,6301,Very Good
428,0.64,1141,Good
429,0.3,552,Premium
430,0.41,876,Premium
431,0.76,2624,Ideal
432,0.44,1235,Premium
433,0.64,1967,Very Good
434,0.3,779,Ideal
435,0.38,920,Ideal
436,0.38,1064,Ideal
437,0.4,1397,Ideal
438,0.32,936,Ideal
439,1.51,12738,Ideal
440,2.04,16319,Ideal
441,1.2,5040,Ideal
442,0.39,1271,Very Good
443,1.09,4565,Ideal
444,1.01,3999,Ideal
445,1.2,8414,Ideal
446,1.01,6794,Good
447,0.54,1240,Ideal
448,1.51,10519,Premium
449,0.31,914,Ideal
450,0.51,1841,Ideal
451,0.3,622,Very Good
452,2.05,16431,Premium
453,1.03,5353,Very Good
454,0.72,2224,Ideal
455,1.01,6097,Premium
456,0.41,999,Ideal
457,1.31,5446,Premium
458,1.0,4295,Premium
459,0.32,589,Very Good
460,0.31,789,Ideal
461,1.14,10512,Ideal
462,0.39,926,Very Good
463,0.7,3131,Very Good
464,0.31,1167,Premium
465,1.0,5068,Good
466,1.17,5842,Ideal
467,0.31,396,Ideal
468,0.5,984,Very Good
469,0.52,1815,Premium
470,0.3,684,Premium
471,0.3,605,Good
472,1.01,5113,Very Good
473,0.33,694,Ideal
474,0.7,2136,Very Good
475,0.33,594,Premium
476,1.2,7362,Premium
477,0.52,1357,Good
478,0.29,664,Very Good
479,0.84,4205,Very Good
480,0.38,660,Very Good
481,1.06,5491,Very Good
482,0.36,568,Ideal
483,1.12,4641,Premium
484,1.01,7665,Good
485,1.5,8580,Ideal
486,0.81,2608,Good
487,0.7,2777,Premium
488,0.44,733,Ideal
489,1.2,8602,Premium
490,0.41,743,Ideal
491,0.32,706,Good
492,0.7,1918,Very Good
493,1.26,6332,Ideal
494,0.83,3557,Premium
495,0.4,1333,Ideal
496,1.23,7130,Ideal
497,1.5,9384,Very Good
498,1.01,5759,Very Good
499,2.75,13156,Ideal
500,0.42,847,Premium
501,0.51,1963,Ideal
502,1.55,7987,Ideal
503,0.4,666,Very Good
504,0.73,3189,Ideal
505,0.31,628,Very Good
506,0.36,1148,Premium
507,1.51,14112,Very Good
508,0.22,342,Premium
509,1.03,5206,Ideal
510,0.78,2200,Premium
511,0.8,2797,Very Good
512,0.7,3162,Ideal
513,0.54,2454,Ideal
514,0.5,1415,Very Good
515,0.93,4405,Good
516,0.52,1712,Ideal
517,0.56,1591,Ideal
518,0.72,3180,Ideal
519,0.73,3464,Ideal
520,1.15,5851,Premium
521,0.3,574,Premium
522,0.66,2055,Good
523,0.35,798,Very Good
524,1.2,3696,Very Good
525,0.35,754,Ideal
526,0.41,1153,Ideal
527,0.97,4355,Good
528,0.91,4642,Ideal
529,0.57,1851,Ideal
530,0.3,764,Ideal
531,0.32,561,Ideal
532,0.9,4379,Very Good
533,0.41,947,Good
534,1.27,6532,Premium
535,0.92,3763,Very Good
536,0.71,3301,Ideal
537,1.09,5993,Premium
538,0.55,1719,Very Good
539,0.31,625,Ideal
540,1.02,4832,Ideal
541,0.41,1007,Ideal
542,0.9,2611,Ideal
543,1.24,12059,Ideal
544,0.9,3662,Premium
545,1.15,4437,Good
546,1.74,13761,Ideal
547,0.28,487,Very Good
548,0.9,3160,Very Good
549,1.57,10914,Premium
550,0.25,454,Ideal
551,1.29,5607,Ideal
552,0.41,1241,Premium
553,0.35,767,Ideal
554,0.85,4181,Ideal
555,0.24,504,Ideal
556,1.15,8743,Ideal
557,0.9,4637,Premium
558,1.24,4875,Ideal
559,0.51,1628,Very Good
560,1.21,6189,Very Good
561,0.7,2016,Good
562,0.9,4304,Very Good
563,0.36,608,Premium
564,1.02,3199,Premium
565,1.21,6302,Ideal
566,1.69,6436,Premium
567,0.32,561,Ideal
568,0.5,1173,Ideal
569,0.7,2276,Very Good
570,0.72,2610,Very Good
571,0.75,2973,Ideal
572,1.0,3612,Premium
573,0.34,1084,Ideal
574,0.34,555,Ideal
575,0.49,1294,Good
576,2.24,17989,Ideal
577,2.02,11390,Very Good
578,0.5,1583,Very Good
579,0.61,2115,Ideal
580,0.59,1561,Premium
581,1.01,4972,Fair
582,0.7,2423,Very Good
583,1.03,3749,Premium
584,0.72,2670,Ideal
585,0.34,615,Ideal
586,0.32,559,Ideal
587,0.62,2861,Ideal
588,1.51,9058,Very Good
589,1.04,4427,Very Good
590,1.25,5293,Premium
591,0.3,790,Ideal
592,0.71,2454,Very Good
593,0.3,956,Ideal
594,0.72,3024,Very Good
595,0.35,767,Premium
596,0.38,1112,Premium
597,0.33,781,Ideal
598,1.1,3388,Premium
599,0.33,693,Very Good
600,1.0,5967,Very Good
601,0.3,421,Very Good
602,1.01,5542,Very Good
603,1.5,7775,Very Good
604,0.39,988,Ideal
605,0.41,1007,Ideal
606,0.3,605,Ideal
607,1.2,5669,Premium
608,0.41,625,Ideal
609,0.38,866,Ideal
610,0.51,1619,Ideal
611,0.73,2624,Very Good
612,0.33,955,Ideal
613,1.52,7370,Good
614,1.05,6586,Very Good
615,2.0,18795,Premium
616,1.13,7108,Ideal
617,0.53,1813,Ideal
618,0.23,458,Good
619,0.3,599,Fair
620,0.72,2618,Very Good
621,1.0,3575,Fair
622,1.01,5051,Ideal
623,0.4,982,Premium
624,1.21,5430,Premium
625,1.51,15688,Ideal
626,0.41,904,Premium
627,0.9,2834,Very Good
628,0.53,1193,Premium
629,0.5,1865,Ideal
630,2.0,18709,Very Good
631,0.35,959,Ideal
632,0.3,665,Ideal
633,1.19,7277,Premium
634,0.7,2475,Premium
635,0.32,702,Ideal
636,1.32,7414,Ideal
637,1.22,6343,Ideal
638,0.32,713,Ideal
639,1.87,17761,Ideal
640,0.32,720,Premium
641,1.01,5812,Very Good
642,0.32,504,Ideal
643,1.51,9467,Premium
644,0.39,1009,Premium
645,0.33,1052,Ideal
646,0.32,561,Premium
647,1.08,4633,Ideal
648,1.01,5882,Premium
649,0.57,1817,Very Good
650,1.02,8637,Ideal
651,1.01,10283,Ideal
652,1.01,5839,Very Good
653,0.4,982,Premium
654,1.1,4620,Ideal
655,0.63,2241,Very Good
656,0.76,2753,Premium
657,1.01,4641,Good
658,1.01,6606,Premium
659,0.3,844,Ideal
660,0.54,2274,Ideal
661,0.55,2030,Premium
662,2.3,15433,Ideal
663,1.02,4435,Premium
664,0.31,447,Ideal
665,1.27,5224,Very Good
666,0.3,574,Premium
667,0.9,4381,Very Good
668,0.41,791,Very Good
669,0.3,601,Ideal
670,1.52,6905,Fair
671,0.74,2352,Very Good
672,1.05,5027,Ideal
673,0.37,1056,Ideal
674,0.3,684,Good
675,1.24,9478,Ideal
676,0.34,724,Very Good
677,0.3,844,Ideal
678,1.02,3599,Very Good
679,0.32,1014,Ideal
680,0.67,2050,Premium
681,0.7,2569,Very Good
682,0.53,1678,Very Good
683,0.7,2695,Very Good
684,1.05,7063,Premium
685,0.9,4246,Premium
686,1.02,7324,Ideal
687,0.7,2155,Premium
688,1.03,5111,Ideal
689,0.39,911,Ideal
690,0.5,1858,Ideal
691,1.51,9104,Ideal
692,1.27,6543,Ideal
693,1.53,10947,Ideal
694,0.91,3112,Very Good
695,0.35,780,Ideal
696,1.04,4077,Ideal
697,0.65,4184,Ideal
698,0.4,1323,Ideal
699,0.43,943,Very Good
700,0.52,1694,Ideal
701,1.09,4639,Very Good
702,0.54,1957,Ideal
703,0.9,1939,Good
704,1.73,10076,Ideal
705,1.7,12833,Very Good
706,1.05,5557,Premium
707,0.34,765,Very Good
708,0.3,936,Ideal
709,0.8,3471,Very Good
710,0.74,2555,Ideal
711,0.37,1041,Ideal
712,0.9,3605,Very Good
713,0.7,2348,Premium
714,0.52,1094,Ideal
715,0.56,1214,Ideal
716,0.33,1240,Ideal
717,0.55,1709,Ideal
718,0.41,1419,Ideal
719,1.21,6710,Premium
720,0.6,2105,Premium
721,0.82,3880,Ideal
722,0.71,2256,Very Good
723,0.7,2932,Premium
724,0.32,1080,Ideal
725,1.46,10302,Ideal
726,0.32,604,Ideal
727,0.34,686,Ideal
728,0.35,630,Premium
729,0.79,2958,Ideal
730,1.54,11815,Premium
731,0.73,3011,Very Good
732,0.5,1000,Premium
733,0.52,1111,Very Good
734,0.4,1053,Ideal
735,0.52,1722,Ideal
736,0.31,698,Ideal
737,0.31,660,Ideal
738,0.33,463,Ideal
739,0.41,904,Ideal
740,0.42,1245,Ideal
741,1.03,4250,Good
742,0.4,1163,Ideal
743,0.9,3709,Very Good
744,1.04,6133,Ideal
745,1.23,7260,Ideal
746,1.71,11351,Premium
747,0.81,2562,Very Good
748,0.71,3017,Very Good
749,0.43,1056,Premium
750,0.26,554,Very Good
751,0.5,1009,Good
752,0.71,3045,Very Good
753,0.3,405,Ideal
754,1.01,3888,Very Good
755,1.57,16570,Ideal
756,2.64,17407,Ideal
757,0.31,734,Very Good
758,1.3,8854,Premium
759,1.02,6797,Good
760,2.0,17534,Ideal
761,0.3,878,Good
762,1.5,14234,Premium
763,0.33,743,Ideal
764,1.53,11230,Ideal
765,0.3,675,Premium
766,0.54,1314,Very Good
767,0.34,775,Ideal
768,0.31,732,Ideal
769,0.4,1050,Ideal
770,0.56,1580,Very Good
771,1.01,4270,Very Good
772,1.04,7467,Ideal
773,0.54,1724,Ideal
774,2.14,18125,Very Good
775,0.27,620,Very Good
776,1.52,12183,Ideal
777,0.71,2096,Good
778,1.31,8261,Ideal
779,0.31,942,Ideal
780,0.7,2106,Very Good
781,0.33,1052,Premium
782,1.32,8501,Ideal
783,0.39,790,Very Good
784,0.72,3903,Very Good
785,1.62,13578,Premium
786,1.5,15708,Premium
787,1.23,8509,Ideal
788,0.4,959,Very Good
789,0.58,1690,Ideal
790,1.72,8900,Ideal
791,0.3,605,Very Good
792,0.9,3274,Very Good
793,1.14,4702,Premium
794,1.02,9521,Ideal
795,0.91,3781,Premium
796,0.53,1769,Ideal
797,2.33,8220,Premium
798,0.3,491,Ideal
799,0.72,2488,Very Good
800,0.41,876,Ideal
801,2.03,15339,Good
802,1.5,10920,Ideal
803,1.03,3824,Premium
804,0.33,492,Ideal
805,0.5,1197,Very Good
806,1.06,8093,Ideal
807,1.35,6254,Premium
808,0.32,1204,Ideal
809,1.2,6653,Good
810,0.3,709,Premium
811,0.56,2281,Ideal
812,0.77,2054,Very Good
813,0.32,758,Ideal
814,0.9,3318,Good
815,0.38,844,Ideal
816,0.7,2352,Premium
817,0.7,956,Fair
818,1.21,5962,Premium
819,0.71,2258,Good
820,0.53,1576,Very Good
821,0.42,1013,Premium
822,0.3,552,Very Good
823,0.33,610,Premium
824,0.51,2925,Very Good
825,0.54,1586,Ideal
826,0.59,1595,Very Good
827,1.01,4138,Good
828,0.55,1881,Very Good
829,0.72,3708,Ideal
830,0.41,1243,Ideal
831,0.32,589,Ideal
832,0.3,895,Premium
833,1.16,5898,Ideal
834,1.05,7666,Very Good
835,1.0,5702,Very Good
836,1.21,7349,Ideal
837,0.83,3027,Ideal
838,1.5,9783,Very Good
839,0.51,1195,Very Good
840,1.55,15426,Ideal
841,0.34,1014,Ideal
842,1.5,13287,Very Good
843,0.31,680,Ideal
844,0.9,3734,Very Good
845,1.11,7740,Ideal
846,1.5,8736,Ideal
847,0.31,789,Ideal
848,0.32,720,Premium
849,0.31,663,Premium
850,0.35,1027,Very Good
851,0.51,1656,Premium
852,1.5,9892,Good
853,1.03,5378,Ideal
854,0.8,2670,Very Good
855,1.02,4798,Ideal
856,1.36,7592,Premium
857,1.0,4273,Good
858,0.32,589,Ideal
859,0.36,571,Ideal
860,0.9,3774,Good
861,0.59,2131,Ideal
862,1.01,4306,Very Good
863,1.01,4876,Ideal
864,0.41,1151,Ideal
865,1.36,6157,Premium
866,2.57,17924,Premium
867,1.02,4356,Good
868,0.53,1273,Premium
869,0.72,3564,Ideal
870,1.11,5450,Very Good
871,0.36,947,Ideal
872,1.39,7239,Premium
873,0.71,2452,Ideal
874,0.71,2767,Ideal
875,0.5,1327,Fair
876,0.5,1446,Ideal
877,1.01,4260,Very Good
878,1.51,7848,Good
879,0.43,1580,Ideal
880,0.61,2076,Good
881,0.74,2553,Premium
882,1.01,3801,Premium
883,1.51,10235,Premium
884,0.53,1322,Very Good
885,1.01,5679,Very Good
886,0.72,2030,Premium
887,1.09,5732,Ideal
888,1.5,5412,Ideal
889,0.39,942,Premium
890,1.1,9641,Ideal
891,0.7,2499,Ideal
892,0.9,4717,Good
893,0.41,1061,Premium
894,0.41,953,Premium
895,2.07,11094,Premium
896,0.3,526,Very Good
897,2.02,14341,Premium
898,0.29,429,Premium
899,0.81,3095,Very Good
900,0.31,734,Ideal
901,1.42,8529,Ideal
902,1.5,11352,Very Good
903,1.0,4514,Premium
904,0.8,2715,Very Good
905,0.52,1887,Ideal
906,0.71,2443,Premium
907,0.91,3994,Good
908,0.7,1111,Good
909,0.31,571,Good
910,0.31,802,Ideal
911,0.9,4890,Premium
912,0.52,1720,Ideal
913,1.76,9336,Very Good
914,0.61,3807,Good
915,1.01,6449,Ideal
916,0.41,1115,Ideal
917,2.17,16472,Premium
918,0.55,1786,Very Good
919,2.01,15675,Very Good
920,0.61,2373,Ideal
921,0.54,1404,Very Good
922,1.43,6086,Fair
923,1.9,12812,Premium
924,0.53,1695,Ideal
925,0.4,1088,Premium
926,0.4,883,Good
927,1.18,6013,Ideal
928,0.88,3619,Ideal
929,0.7,2745,Ideal
930,0.42,847,Premium
931,1.01,5555,Ideal
932,0.32,912,Ideal
933,1.3,5569,Premium
934,0.4,1206,Ideal
935,0.8,2650,Good
936,1.36,6397,Good
937,0.8,2122,Ideal
938,0.9,3507,Premium
939,0.6,2298,Ideal
940,0.4,1035,Premium
941,1.03,7102,Very Good
942,1.14,3824,Ideal
943,0.38,1257,Ideal
944,0.4,982,Very Good
945,0.24,752,Ideal
946,0.41,1000,Ideal
947,0.31,840,Ideal
948,0.31,732,Very Good
949,0.53,1363,Good
950,1.72,7741,Good
951,0.4,1066,Very Good
952,0.5,1409,Premium
953,0.3,710,Ideal
954,0.8,4170,Ideal
955,0.73,3429,Ideal
956,0.31,435,Very Good
957,0.5,1678,Ideal
958,0.52,1219,Premium
959,0.51,956,Premium
960,0.73,3089,Ideal
961,1.02,6694,Very Good
962,1.0,6183,Good
963,0.58,2192,Ideal
964,0.9,3208,Very Good
965,0.71,2300,Fair
966,1.2,5154,Premium
967,0.23,536,Ideal
968,0.57,1883,Very Good
969,1.01,5713,Very Good
970,1.01,3733,Ideal
971,1.52,15819,Very Good
972,1.22,5794,Premium
973,0.4,629,Ideal
974,0.56,1119,Ideal
975,0.39,581,Premium
976,0.74,3454,Ideal
977,1.36,10455,Ideal
978,1.5,11385,Ideal
979,1.16,10082,Ideal
980,0.71,2934,Ideal
981,1.06,4452,Premium
982,0.32,576,Premium
983,0.39,1024,Ideal
984,1.2,7096,Good
985,0.45,1377,Ideal
986,0.43,1093,Ideal
987,0.72,3493,Very Good
988,0.31,583,Ideal
989,0.71,2381,Premium
990,0.7,2362,Very Good
991,0.73,1986,Very Good
992,0.37,815,Ideal
993,1.06,5445,Very Good
994,0.32,702,Ideal
995,1.04,6908,Premium
996,2.08,17469,Ideal
997,0.35,906,Ideal
998,0.31,516,Good
999,1.4,6139,Ideal
1000,2.01,16287,Premium
1001,2.24,15852,Ideal
1002,0.75,3817,Very Good
1003,0.7,2083,Ideal
1004,0.34,555,Ideal
1005,1.51,13157,Ideal
1006,0.72,2548,Ideal
1007,1.29,7080,Ideal
1008,2.04,12454,Premium
1009,0.52,2012,Ideal
1010,0.71,2215,Premium
1011,0.38,633,Premium
1012,0.31,698,Good
1013,0.31,544,Very Good
1014,0.9,3084,Good
1015,1.03,4070,Premium
1016,1.54,11574,Premium
1017,1.0,4732,Good
1018,1.04,4013,Premium
1019,0.52,1429,Ideal
1020,0.38,889,Ideal
1021,1.52,8299,Premium
1022,0.37,886,Ideal
1023,1.53,7240,Ideal
1024,1.12,4422,Premium
1025,1.01,4638,Premium
1026,0.91,4550,Fair
1027,0.3,565,Good
1028,2.36,14146,Ideal
1029,0.53,1226,Good
1030,0.33,854,Ideal
1031,0.7,1851,Good
1032,0.28,503,Ideal
1033,1.51,14334,Premium
1034,1.2,8669,Ideal
1035,0.91,3963,Premium
1036,0.32,730,Ideal
1037,0.49,1179,Premium
1038,0.9,5511,Very Good
1039,0.34,491,Ideal
1040,2.01,12392,Very Good
1041,0.33,579,Ideal
1042,1.0,4116,Premium
1043,0.51,1787,Ideal
1044,0.55,1815,Premium
1045,0.34,689,Premium
